Name,Created,Date Due,Difficulty,Done,Interval,Last Solved,Source,Tags,URL
217. Contains Duplicate,"March 29, 2024 12:00 AM","December 16, 2025",Easy,No,1 year,"December 16, 2024",NeetCode,Arrays,https://leetcode.com/problems/contains-duplicate/
125. Valid Palindrome,"March 29, 2024 9:58 AM","September 27, 2025",Easy,No,2 months,"July 27, 2025",NeetCode,"Strings, Two Pointers",https://leetcode.com/problems/valid-palindrome/
100. Same Tree,"March 30, 2024 1:16 PM","December 16, 2025",Easy,No,1 year,"December 16, 2024",NeetCode,Trees,https://leetcode.com/problems/same-tree/editorial/
141. Linked List Cycle,"April 1, 2024 7:09 PM","January 16, 2026",Easy,No,1 year,"January 16, 2025",NeetCode,Linked Lists,https://leetcode.com/problems/linked-list-cycle/description/
20. Valid Parentheses,"April 13, 2024 1:53 PM","March 11, 2026",Easy,No,1 year,"March 11, 2025",NeetCode,"Stack, Strings",https://leetcode.com/problems/valid-parentheses/description/
704. Binary Search,"April 18, 2024 6:45 PM","June 30, 2026",Easy,No,1 year,"June 30, 2025",NeetCode,"Arrays, Binary Search",https://leetcode.com/problems/binary-search/submissions/1236129001/
121. Best Time to Buy And Sell Stock,"April 22, 2024 5:03 PM","January 8, 2026",Easy,No,1 year,"January 8, 2025",NeetCode,Sliding Window,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/description/
703. Kth Largest Element in a Stream,"April 22, 2024 5:27 PM","October 10, 2025",Easy,No,1 month,"September 10, 2025",NeetCode,Heap/Priority Queue,https://leetcode.com/problems/kth-largest-element-in-a-stream/description/
1. Two Sum,"April 23, 2024 3:50 PM","January 8, 2026",Easy,No,1 year,"January 8, 2025",NeetCode,"Arrays, Hashes",https://leetcode.com/problems/two-sum/description/
252. Meeting Rooms,"April 25, 2024 5:56 PM","September 2, 2025",Easy,No,2 months,"July 2, 2025",NeetCode,Intervals,https://leetcode.com/problems/meeting-rooms/description/
49. Group Anagrams,"April 28, 2024 7:27 PM","December 11, 2025",Medium,No,4 months,"August 11, 2025",NeetCode,"Hashes, Strings",https://leetcode.com/problems/group-anagrams/description/
155. Min Stack,"May 4, 2024 1:13 PM","November 28, 2025",Medium,No,4 months,"July 28, 2025",NeetCode,Stack,https://leetcode.com/problems/min-stack/description/
226. Invert Binary Tree,"May 4, 2024 2:01 PM","January 22, 2026",Easy,No,1 year,"January 23, 2025",NeetCode,Trees,https://leetcode.com/problems/invert-binary-tree/
206. Reverse Linked List,"May 20, 2024 3:32 PM","February 12, 2026",Easy,No,1 year,"February 12, 2025",NeetCode,Linked Lists,https://leetcode.com/problems/reverse-linked-list/description/
21. Merge Two Sorted Lists,"May 20, 2024 4:59 PM","September 23, 2025",Easy,No,2 months,"July 23, 2025",NeetCode,Linked Lists,https://leetcode.com/problems/merge-two-sorted-lists/description/
104. Maximum Depth of Binary Tree,"May 24, 2024 7:19 PM","February 13, 2026",Easy,No,1 year,"February 13, 2025",NeetCode,Trees,https://leetcode.com/problems/maximum-depth-of-binary-tree/submissions/1267033906/
542. Diameter of Binary Tree,"May 24, 2024 7:55 PM","July 27, 2026",Easy,No,1 year,"July 27, 2025",NeetCode,Trees,https://leetcode.com/problems/diameter-of-binary-tree/
110. Balanced Binary Tree,"June 8, 2024 8:23 PM","March 5, 2026",Easy,No,1 year,"March 5, 2025",NeetCode,Trees,https://leetcode.com/problems/balanced-binary-tree/
572. Subtree of Another Tree,"June 17, 2024 11:00 AM","September 23, 2025",Easy,No,2 weeks,"September 9, 2025",NeetCode,Trees,https://leetcode.com/problems/subtree-of-another-tree/description/
1046. Last Stone Weight,"June 23, 2024 8:37 PM","October 14, 2025",Easy,No,4 months,"June 25, 2025",NeetCode,Heap/Priority Queue,https://leetcode.com/problems/last-stone-weight/
347. Top K Frequent Elements,"June 24, 2024 9:47 AM","December 1, 2025",Medium,No,4 months,"August 1, 2025",NeetCode,"Arrays, Hashes",https://leetcode.com/problems/top-k-frequent-elements/description/
271. Encode and Decode Strings,"June 26, 2024 11:50 AM","October 13, 2025",Medium,No,2 months,"August 13, 2025",NeetCode,Strings,https://leetcode.com/problems/encode-and-decode-strings/
167. Two Sum II - Input Array Is Sorted,"June 28, 2024 10:38 AM","July 28, 2026",Medium,No,1 year,"July 28, 2025",NeetCode,Two Pointers,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/
3. Longest Substring Without Repeating Characters,"July 20, 2024 3:30 PM","December 5, 2025",Medium,No,4 months,"August 5, 2025",NeetCode,Sliding Window,https://leetcode.com/problems/longest-substring-without-repeating-characters/submissions/1327721005/
70. Climbing Stairs,"August 1, 2024 6:42 PM","November 27, 2025",Easy,No,4 months,"July 27, 2025",NeetCode,Dynamic Programming,https://leetcode.com/problems/climbing-stairs/
746. Min Cost Climbing Stairs,"August 3, 2024 3:50 PM","July 23, 2026",Easy,No,1 year,"July 23, 2025",NeetCode,Dynamic Programming,https://leetcode.com/problems/min-cost-climbing-stairs/description/
15. 3Sum,"August 5, 2024 5:42 PM","October 6, 2025",Medium,No,2 months,"August 6, 2025",NeetCode,Two Pointers,https://leetcode.com/problems/3sum/
74. Search a 2D Matrix,"August 11, 2024 12:47 PM","October 10, 2025",Medium,No,2 months,"August 10, 2025",NeetCode,Binary Search,https://leetcode.com/problems/search-a-2d-matrix/
143. Reorder List,"August 28, 2024 5:57 PM","October 5, 2025",Medium,No,2 months,"August 5, 2025",NeetCode,Linked Lists,https://leetcode.com/problems/reorder-list/description/
235. Lowest Common Ancestor of a Binary Tree,"September 2, 2024 4:57 PM","October 13, 2025",Medium,No,2 months,"August 13, 2025",NeetCode,"Binary Search, Trees",https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/description/
973. K Closest Points to Origin,"September 24, 2024 5:05 PM","September 12, 2025",Medium,No,1 month,"August 12, 2025",NeetCode,Heap/Priority Queue,https://leetcode.com/problems/k-closest-points-to-origin/description/
78. Subsets,"October 9, 2024 6:22 PM","October 13, 2025",Medium,No,1 month,"September 13, 2025",NeetCode,Backtracking,https://leetcode.com/problems/subsets/description/
200. Number of Islands,"November 12, 2024 5:07 PM","September 17, 2025",Medium,No,1 week,"September 10, 2025",NeetCode,Graphs,https://leetcode.com/problems/number-of-islands/description/
198. House Robber,"November 13, 2024 5:59 PM","December 5, 2025",Medium,No,4 months,"August 5, 2025",NeetCode,Dynamic Programming,https://leetcode.com/problems/house-robber/description/
238. Product of Array Except Self,"November 14, 2024 5:01 PM","September 6, 2025",Medium,No,1 month,"August 6, 2025",NeetCode,Arrays,https://leetcode.com/problems/product-of-array-except-self/description/
39. Valid Sudoku,"November 20, 2024 10:40 AM","September 26, 2025",Medium,No,2 weeks,"September 12, 2025",NeetCode,Arrays,https://leetcode.com/problems/valid-sudoku/description/
128. Longest Consecutive Sequence,"December 18, 2024 5:37 PM","September 12, 2025",Medium,No,1 month,"September 12, 2025",NeetCode,Arrays,https://leetcode.com/problems/longest-consecutive-sequence/description/
